Complete Availability,,,,,,,,,,
"WEEK OF SEPTEMBER 14, 2026",,,,,,,,,,
QTY,Plant Name,Size,Price 1,Price 2,Avail,Next Date,Ratings,,,
,Eurybia divaricata LE,TRAY 50,77.50,77.50,12,,Ready,,,
,Eurybia macrophylla LE,#1,7.59,9.00,482,Sep 28,Retail Foliage,,,
,Eurybia macrophylla LE,TRAY 50,77.50,77.50,38,,Ready,,,
,Eurybia x herveyi 'Twilight',#1,6.29,7.38,341,,Bud & Bloom,,,
,Euthamia graminifolia LE,#1,7.59,9.00,343,Sep 28,Retail Foliage,,,
,Euthamia graminifolia LE,TRAY 50,77.50,77.50,65,,Ready,,,
,Eutrochium dubium LE,#1,7.59,9.00,69,Sep 28,Cut Back,,,
,Eutrochium dubium 'Baby Joe',TRGA,8.32,9.93,211,,Retail Foliage,,,
,Eutrochium dubium LE,TRAY 50,85.00,85.00,47,,Ready,,,
,Eutrochium fortunei 'Pink Frost',TRGA,8.32,9.93,430,,Retail Foliage,,,
,Eutrochium maculatum LE,#1,7.59,9.00,599,Oct 5,Fair Foliage,,,
,Eutrochium maculatum 'Gateway',TRGA,8.32,9.93,69,,Retail Foliage,,,
,Eutrochium maculatum LE,TRAY 50,85.00,85.00,34,,Ready,,,
,FERNS,,,,,,,,,
,Adiantum pedatum,2QT,7.44,8.79,1910,Sep 28,Retail Foliage,,,
,Adiantum venustum,2QT,7.44,8.79,77,,Retail Foliage,,,
,Asplenium trichomanes,2QT,7.44,8.79,254,,Retail Foliage,,,
,Athyrium × 'Ghost',2QT,6.08,7.12,175,Sep 28,Retail Foliage,,,
,Athyrium 'Godzilla',#1,6.29,7.38,270,Sep 28,Retail Foliage,,,
,Athyrium filix-femina 'Lady in Red',2QT,6.08,7.12,859,Sep 28,Retail Foliage,,,
,Athyrium filix-femina 'Victoriae',2QT,6.08,7.12,1365,Sep 28,Retail Foliage,,,
,Athyrium filix-femina,2QT,6.08,7.12,586,Sep 28,Retail Foliage,,,
,Athyrium nip. v. pictum,2QT,6.08,7.12,332,Sep 28,Retail Foliage,,,
,Cheilanthes lanosa,2QT,6.08,7.12,615,,Retail Foliage,,,
,Cystopteris bulbifera,2QT,6.08,7.12,235,,Small Looks Good,,,
,Dennstaedtia punctilobula,2QT,7.44,8.79,20464,,Retail Foliage,,,
,Dennstaedtia punctilobula,TRAY 32 CT,96.00,96.00,10,Sep 14,READY,,,
,Dryopteris championii,2QT,7.44,8.79,420,,Retail Foliage,,,
X,Dryopteris erythrosora 'Brilliance',2QT,6.08,7.12,0,Sep 21,,,,
,Dryopteris filix-mas,2QT,7.44,8.79,319,Sep 21,Retail Foliage,,,
,Dryopteris marginalis,2QT,6.08,7.12,598,Sep 21,Retail Foliage,,,
,Dryopteris tokyoensis,2QT,7.44,8.79,514,,Retail Foliage,,,
,Matteuccia struthiopteris,TRGA,8.32,9.93,1995,Sep 28,Small Looks Good,,,
,Onoclea sensibilis,2QT,7.44,8.79,1038,,Retail Foliage,,,
,Osmunda cinnamomea,#1,7.59,9.00,550,Sep 28,Retail Foliage,,,
X,Osmunda claytoniana,2QT,7.44,8.79,0,Sep 21,,,,
,Osmunda regalis,2QT,7.44,8.79,1484,Sep 28,Retail Foliage,,,
,Polystichum acrostichoides,2QT,7.44,8.79,1230,Sep 28,Retail Foliage,,,
,Polystichum polyblepharum,2QT,7.44,8.79,303,Sep 21,Retail Foliage,,,
,Thelypteris palustris,2QT,6.08,7.12,512,,Retail Foliage,,,
,Woodsia obtusa,2QT,7.44,8.79,267,,Retail Foliage,,,
,Filipendula × 'Red Umbrellas',#1,8.68,10.30,74,,Retail Foliage,,,
,Filipendula rubra 'Venusta',TRGA,8.32,9.93,300,,Retail Foliage,,,
,Fragaria vesca LE,#1,7.59,9.00,999,,Retail Foliage,,,
,Fragaria virginiana,#1,7.59,9.00,222,,Retail Foliage,,,
,Galium odoratum,1QT,4.11,4.84,1204,,Retail Foliage,,,
X,Gaultheria procumbens,2QT,8.48,10.04,0,Oct 5,,,,
X,Gentiana 'True Blue',#1,8.68,10.30,0,Sep 21,,,,
,Geranium 'Azure Rush',#1,7.59,9.00,86,Sep 21,Small Looks Good,,,
X,Geranium 'Johnson's Blue',#1,6.29,7.38,0,Sep 28,,,,
,Geranium ×cant. 'Biokovo',#1,7.59,9.00,543,,Retail Foliage,,,
,Geranium × cant. 'Cambridge',#1,6.29,7.38,379,,Retail Foliage,,,
,Geranium himalayense,#1,7.59,9.00,164,,Retail Foliage,,,
,Geranium himalayense 'Birch's Double',#1,7.59,9.00,116,,Bud & Bloom,,,
X,Geranium macro. 'Bevan's Variety',2QT,6.08,7.12,0,Sep 21,,,,
X,Geranium mac. 'Ingwersen's Variety',2QT,6.08,7.12,0,Sep 21,,,,
,Geranium mac. 'Spessart',2QT,6.08,7.12,57,Sep 21,Small Looks Good,,,
,Geranium maculatum,2QT,7.44,8.79,762,,Small Looks Good,,,
,Geranium phaeum 'Samobor',#1,7.59,9.00,134,,Retail Foliage,,,
X,Geranium sanguineum 'Album',#1,7.59,9.00,0,Sep 28,,,,
